年,世紀,時代,出来事・用語,別解,詳細
1841,,江戸時代,天保の改革,,老中・水野忠邦が行った、贅沢を禁じたりした改革。
1842,,江戸時代,天保の薪水給与令,薪水給与令,異国船打払令を緩め、日本に来た外国船に薪や水を与えて退去させるという方針を示したもの。
1842,,江戸時代,南京条約,,戦争でイギリスに負けた清が結ばされた、清にとって不利な条約。
1853,,江戸時代,ペリー来航,黒船来航,アメリカのペリー提督が浦賀に来航し、開国を要求。
1854,,江戸時代,日米和親条約,,ペリーが日本に結ばせた、下田・函館の2港を開港させた条約。
1857,,江戸時代,インド大反乱,シパーヒーの乱,インドに侵略して、だんだん支配を強めていくイギリスに対して起こした大きな反乱。
1858,,江戸時代,日米修好通商条約,,大老・井伊直弼のときに結んだ、5港を開かせ、日本に不平等な面があった条約。
1858,,江戸時代,安政の大獄,,江戸幕府が行った、勅許を得ないままアメリカとの条約に調印したりしたことに反対した人を弾圧した事件。
1860,,江戸時代,桜田門外の変,,井伊直弼が水戸藩の元藩士により暗殺された事件。
1861,,江戸時代,南北戦争,アメリカ南北戦争,奴隷制廃止などを巡る、アメリカの北部と南部が行った戦争。
1862,,江戸時代,奴隷解放宣言,,リンカンが、アメリカ南部の所有する地域の奴隷たちの解放を命じた宣言。
1862,,江戸時代,生麦事件,,薩英戦争のきっかけとなった、薩摩藩主の行列に遭遇したイギリス人を藩士が殺傷した事件。
1863,,江戸時代,薩英戦争,,イギリス艦隊が鹿児島を砲撃したりした、江戸時代のイギリスと薩摩藩との間で起こった戦争。
1866,,江戸時代,薩長同盟,,坂本龍馬の仲立ちで、長州藩と薩摩藩が結んだ同盟。
1867,,江戸時代,王政復古の大号令,,徳川の勢力を政治の中心から追い出し、天皇中心となる新政府の成立を宣言した。
1867,,江戸時代,大政奉還,,徳川慶喜が政権を天皇に返上。
1868,,明治時代,五箇条の御誓文,,天皇が新たな政治の方針を神々に誓う形で出されたもの。
1868,,明治時代,戊辰戦争,,旧幕府側と新政府軍が鳥羽伏見などで戦った大きな内戦。
1868,,明治時代,明治維新,,明治天皇による新政府の成立と幕府の終焉の一連の改革の流れ。
1869,,明治時代,版籍奉還,,明治維新の一環として、土地や人民を藩から天皇に返させた政治改革。
1871,,明治時代,ドイツ帝国,,プロイセン王国が統一し成立した国。
1871,,明治時代,解放令,,江戸時代に差別されていた人々の呼び名を廃止し、身分や職業を平民と同じにした。
1871,,明治時代,岩倉使節団,,岩倉具視を代表に、使節団をアメリカやヨーロッパ諸国に送った。
1871,,明治時代,日清修好条規,,清と対等な条約で、この時正式に国交を開いた。
1871,,明治時代,廃藩置県,,藩を廃止し、代わりに府県を置いた出来事。
1872,,明治時代,学制,,子供の教育を受けさせることを国民の義務とさせた法令。
1873,,明治時代,地租改正,,土地の所有者に地価の3%を税金として現金で納めさせた。
1873,,明治時代,徴兵令,,近代的な徴兵制度が導入される。
1873,,明治時代,征韓論,,武力を持ってしても朝鮮を開国させようという主張。
1874,,明治時代,民撰議院設立建白書,民撰議員設立の建白書、民選議員設立建白書,国民が選んだ議員が作る国会の早期開設を求めた。
1875,,明治時代,樺太・千島交換条約,,ロシアと樺太と千島の所有権を交換した条約。
1876,,明治時代,日朝修好条規,,日本と朝鮮との間で結んだ、朝鮮にとって不平等な条約。
1876,,明治時代,廃刀令,帯刀禁止令,警察官や軍人以外の人の帯刀を禁じた法令、武士も帯刀を禁じられたので士族の特権が否定されていった。
1877,,明治時代,西南戦争,,西郷隆盛を筆頭に、政府に不満を持つ士族らによって起こされた、日本最後の武力の反乱。
1880,,明治時代,国会期成同盟,,各地の自由民権運動の代表が大阪に集まって結成された同盟。
1881,,明治時代,国会開設の勅諭,国会開設の詔,10年後に国会を開設することと、憲法を天皇のもとで作ると約束した。
1881,,明治時代,自由党,,板垣退助がフランスの人権思想に基づいて作られた政党。
1882,,明治時代,立憲改進党,,大隈重信がイギリスのような議会政治を目指して作られた政党。
1882,,明治時代,三国同盟,,第一次世界大戦の主要な交戦国となる、ドイツ・オーストリア・イタリアによる軍事同盟。
1885,,明治時代,内閣制度,,政府の強化と能率化を目的に太政官制を廃止して作られた制度。
1889,,明治時代,大日本帝国憲法,,ドイツの憲法をもとに、日本で初めて発布された憲法。
1890,,明治時代,教育勅語,,明治天皇が近代日本の教育の基本方針として下した勅語。
1890,,明治時代,森鴎外,,「舞姫」という小説を発表した人。
1894,,明治時代,日清戦争,,後に日本がアジアの近代国家と認められるようになった、日本と清が行った戦争。
1894,,明治時代,日英通商航海条約,,陸奥宗光外相の時にイギリスと結び、領事裁判権を廃止した。
1894,,明治時代,甲午農民戦争,,日清戦争のきっかけとなった、朝鮮で起こった政治改革を目指す反乱。
1895,,明治時代,下関条約,,下関で条約は結ばれ、賠償金を払わせたり朝鮮の独立などを認めさせたりした。
1895,,明治時代,樋口一葉,,後に五千円の肖像画となる、「たけくらべ」の連載を開始した人。
1895,,明治時代,三国干渉,,ヨーロッパ三国が戦争で日本に割譲された遼東半島を清に返還するように要求した。
1900,,明治時代,義和団事件,,義和団が清の軍隊とともに北京の外国公使館を取り囲んだ。
1901,,明治時代,八幡製鉄所,官営八幡製鉄所,日本の重工業の発展のきかっけになった、北九州市にある官営工場。
1902,,明治時代,日英同盟,,ロシアが満州を勢力下におこうとしたことを阻止しようとする日本とイギリスの利害が一致して結んだ同盟。
1904,,明治時代,日露戦争,,三国干渉後の満州や朝鮮の支配権を巡り起こった、日本とロシアとの戦争。
1905,,明治時代,血の日曜日事件,,ロシアで平和的なデモが軍により鎮圧され、多数の死傷者が出る。
1905,,明治時代,ポーツマス条約,日露講和条約,アメリカの仲介によって結ばれた条約で、鉄道の利権などが得られたが賠償金は得られなかった。
1906,,明治時代,南満州鉄道株式会社,満鉄,ロシアと結んだ条約で得た鉄道の利権をもとに発足した会社。
1910,,明治時代,韓国併合,,日本が韓国を併合し、植民地とした。
1911,,明治時代,辛亥革命,,清朝が倒れ、後に中華民国が成立する革命。アジアでの革命運動の先駆け。
1911,,明治時代,関税自主権,,小村寿太郎外相の下、日本は欧米諸国との条約改正がすべて達成された。
1911,,明治時代,大逆事件,,天皇暗殺を計画した幸徳秋水などの社会主義者を処刑した。
1911,,明治時代,田中正造,,足尾銅山の鉱毒被害に対して反対運動を起こした。
1911,,明治時代,青鞜社,,平塚らいてうらが作った社で、女性に対する古い考え方を批判する活動をした。
1912,,大正時代,中華民国,,建国時は孫文が臨時大統領となった、アジアで初めての共和国。
1912,,大正時代,辛亥革命,,反乱をきっかけに清を倒そうとし、滅亡させた。
1912,,大正時代,護憲運動,第一次護憲運動、第1次護憲運動,憲法の精神に基づく政治を守り、民衆の考えを反映していこうという運動。
1914,,大正時代,サラエボ事件,,オーストリア皇太子フランツ・フェルディナントが暗殺され、第一次世界大戦の引き金となった事件。
1914,,大正時代,第一次世界大戦,,オーストリア皇太子暗殺をきっかけに起こった戦争。
1915,,大正時代,五・四運動,五四運動、5・4運動,日本による21カ条の要求の内容不満により発生した抗日、反帝国主義を掲げる学生運動
1915,,大正時代,二十一ヶ条の要求,二十一か条の要求、二十一カ条の要求、21か条の要求,日本が中国に対して提出した、日本の利権拡大を目指す要求。
1917,,大正時代,ロシア革命,,ロシア帝国が崩壊し、ソビエト連邦が成立。
1918,,大正時代,米騒動,,米価高騰に対する民衆の暴動。
1918,,大正時代,原敬,,初めての本格的な政党内閣を組織した総理大臣。
1919,,大正時代,ヴェルサイユ条約,ベルサイユ条約、ヴェルサイユ講和条約、ベルサイユ講和条約,第一次世界大戦における連合国とドイツとの間で結ばれた講和条約。
1919,,大正時代,パリ講和会議,,第一次世界大戦後の講和条約を協議した会議。日本は国際連盟の設立に貢献。
1919,,大正時代,三・一独立運動,三一独立運動、3・1独立運動,朝鮮で発生した大日本帝国からの独立運動。
1919,,大正時代,ワイマール憲法,ワイマル憲法、ヴァイマル憲法,この憲法を基礎にしてドイツは共和国になった。
1920,,大正時代,国際連盟,,第一次世界大戦後の平和を目的とした国際機関。日本は初期メンバー。
1921,,大正時代,ワシントン会議,,太平洋地域の軍備縮小と地域問題の解決を目的として開催。
1922,,大正時代,ソビエト社会主義共和国連邦,ソ連、ソビエト連邦,革命を経て、共産主義をめざした連邦国が成立した。
1922,,大正時代,全国水平社,水平社,解放令後も完全に無くならなかった差別をなくし、平等な社会を目指して結成された。
1922,,大正時代,シベリア出兵,シベリア事変,自国へのロシア革命の影響を防ぐために、第一次世界大戦の連合国がシベリアに出兵した。
1923,,大正時代,関東大震災,,関東地方を襲った大地震。大規模な被害をもたらし、復興が課題となる。
1923,,大正時代,関東大震災,,約10万人以上の死者・行方不明者を出した、関東地方で起こった地震。
1925,,大正時代,普通選挙法,男子普通選挙,25歳以上の男子に普通選挙権が与えられる。
1925,,大正時代,治安維持法,,主に社会主義の動きに対して重い刑罰を処するための法律。
1927,,昭和時代,金融恐慌,,ヨーロッパ諸国への輸出が減り、さらに関東大震災が重なったことにより銀行に人々が殺到し、銀行の休業や倒産が相次いだ。
1928,,昭和時代,五か年計画,五カ年計画、五ヵ年計画,世界恐慌の中ソ連が行った計画経済で、国内生産を増強した。
1928,,昭和時代,蒋介石,蔣介石,南京に国民政府を作り、中国をほぼ統一した。
1929,,昭和時代,世界恐慌,,ニューヨークの株価の大暴落が世界中に広がって起こった恐慌。
1931,,昭和時代,満州事変,,線路を爆破した事件は中国が行ったことだと主張し、関東軍が攻撃をして満州全体を占領した。
1931,,昭和時代,柳条湖事件,,中国側の犯行と関東軍が主張した、満州事変のきっかけとなる鉄道爆破事件。
1932,,昭和時代,ブロック経済,,おもにイギリスなどで行われ、植民地など関係の深い国以外の商品に高い税をかけて締め出した。
1932,,昭和時代,五・一五事件,五一五事件、5・15事件,海軍の青年将校らが首相官邸を襲い、犬養毅を暗殺した事件。
1933,,昭和時代,ニューディール政策,新規まき直し政策,世界恐慌で職を失った人々にアメリカは賃金引き上げや公共事業をおこした政策。
1933,,昭和時代,ヒトラー,ヒットラー,ナチ党を率いていて、政権を握り公共事業などで失業者を減らした。
1936,,昭和時代,二・二六事件,ニニ六事件、2・26事件,陸軍部隊を率いた青年将校らが大臣らを暗殺し、首相官邸や国会議事堂などを占拠した事件。
1936,,昭和時代,皇民化政策,,日本語教育の強制や名前を日本風にすることを強制したりした、日本植民地の人々への日本人化の政策。
1937,,昭和時代,盧溝橋事件,,盧溝橋で起きた日本軍と中国国民革命軍第二十九軍との衝突事件。
1937,,昭和時代,日中戦争,,日中両軍が衝突した事件をきっかけに起こった戦争。
1937,,昭和時代,抗日民族統一戦線,,国民党と共産党が共同して日本と戦うために作った。
1938,,昭和時代,国家総動員法,,国民や物資を優先して戦争に回そうと定めた法。
1939,,昭和時代,第二次世界大戦,,ナチス・ドイツのポーランド侵攻により勃発した戦争。
1940,,昭和時代,大政翼賛会,,第二次世界大戦中の日本で、政党が軍への抵抗をやめ合流した組織。
1940,,昭和時代,日独伊三国同盟,日独伊三国軍事同盟,主にアメリカなどの国を想定し、攻撃されたときの相互援助を約束した軍事同盟。
1941,,昭和時代,真珠湾攻撃,,アメリカが第二次世界大戦に参戦するきっかけとなった、日本がハワイへした攻撃。
1941,,昭和時代,太平洋戦争,,日本などの枢軸国とアメリカなどの連合国の間で行われた、主に太平洋が戦場となった戦争。
1941,,昭和時代,日ソ中立条約,,相互不可侵を約束した、日本とソビエト連邦が締結した中立条約。
1941,,昭和時代,ABCD包囲網,,太平洋戦争直前に日本の東南アジア侵攻に対抗して行った各国の経済制裁の包囲網。
1942,,昭和時代,ミッドウェー海戦,,日本海軍とアメリカ海軍の間で行われた海戦で、太平洋戦争の転換点と言われている。
1945,,昭和時代,ポツダム宣言,,アメリカなどの国が連名で日本へ出した13か条の宣言、これで第二次世界大戦は終結した。
1945,,昭和時代,沖縄戦,沖縄の戦い,沖縄諸島にアメリカ軍が上陸した、沖縄本島が主戦場となった戦い。
1945,,昭和時代,ヤルタ協定,極東密約,日ソ中立条約を一方的に破棄し、ソ連が対日本で参戦することとなった秘密協定。
1945,,昭和時代,国際連合,,第二次世界大戦の勃発を防げなかった国際連盟での反省を踏まえ、連合国が中心となって発足した国際機関。
1945,,昭和時代,財閥解体,,GHQの主導で、当時日本経済を牛耳っていた、三菱、住友、などと言った財閥を解体させた。
1945,,昭和時代,安全保障理事会,国際連合安全保障理事会,連合国側の国々が常任理事国を務める、国際連合で最高の権限を持つ機関。
1945,,昭和時代,原子爆弾,原爆,第二次世界大戦末期に、8月6日に広島、8月9日に長崎へ落とされた爆弾。
1946,,昭和時代,人間宣言,天皇人間宣言,昭和天皇が天皇は神の子孫ではないと否定した宣言(詔書)。
1946,,昭和時代,公職追放,,戦争の協力をした人々、軍国主義者を政府や民間企業の要職から排除した処置。
1946,,昭和時代,東京裁判,極東国際軍事裁判,連合国が指導者など日本の戦争犯罪人を裁いた一審制の軍事裁判。
1947,,昭和時代,日本国憲法,,平和主義や人権の尊重など、戦後の新しい日本の憲法が施行される。
1947,,昭和時代,農地改革,,GHQの指示の下、地主が持っていた農地を強制的に政府が買い取り、小作人に安く売り渡した。
1948,,昭和時代,第一次中東戦争,第1次中東戦争,アラブ諸国とイスラエルとの間で起こった1回目の武力衝突。
1949,,昭和時代,中華人民共和国,,毛沢東率いる中国共産党が中国大陸を統一して建国した国。
1950,,昭和時代,夏目漱石,,後に千円札の肖像画になった、「吾輩は猫である」を発表した人。
1950,,昭和時代,朝鮮特需,,日本での高度経済成長の大きな原因となる、朝鮮戦争の影響でアメリカ軍から日本国内の企業へ発注が急増した特需。
1950,,昭和時代,警察予備隊,,後に自衛隊と呼ばれるようになる、朝鮮戦争の影響による日本での治安上の不備を補うために創設された組織。
1951,,昭和時代,サンフランシスコ講和条約,日本国との平和条約、SF条約,第二次世界大戦後に連合国と日本の間に締結された平和条約。
1973,,昭和時代,石油危機,オイルショック,原油の供給ひっ迫や原油価格の高騰に伴い、世界経済がきたした大きな混乱。
1989,,平成時代,ベルリンの壁崩壊,,冷戦の象徴であったベルリンの壁が崩壊。
1991,,平成時代,ソビエト連邦崩壊,ソビエト社会主義共和国連邦崩壊、ソ連崩壊、ソビエト連邦の崩壊,ソビエト連邦が内部分裂を起こし、単一の主権国家としての存続を終了した。
2001,,平成時代,アメリカ同時多発テロ,9.11、9.11事件、911、911事件,イスラム過激派テロ組織によって行われた4つのテロ攻撃。
2019,,令和時代,新型コロナウイルス感染症,COVID-19、新型コロナウイルス、SARSコロナウイルス2,中国の武漢市から広まり、世界各地に感染が拡大(パンデミック)した感染症。
2021,,令和時代,タリバン,ターリバーン、タリバーン,アフガニスタンでその組織の政権を成立させた、イスラム主義組織。
2022,,令和時代,ロシアのウクライナ侵攻,ウクライナ侵攻、ロシアによるウクライナ侵略,ロシアがウクライナへ「特別軍事作戦」を開始すると公表され、首都キーウなど各地への攻撃が開始された全面的な軍事侵攻。
